Food Item,Energy (kcal),Protein (g),Fat (g),CHO (g),Fiber (g),Sugars (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg)
"Amaranth seed, black",1490,14.59,5.74,59.98,7.02,0.88,2.7,181.0,9.33,0.0
"Amaranth seed, pale brown",1489,13.27,5.56,61.46,7.47,0.8,2.81,162.0,8.02,0.0
Bajra,1456,10.96,5.43,61.78,11.49,0.81,4.11,27.35,6.42,0.0
Barley,1321,10.94,1.3,61.29,15.64,0.06,7.56,28.64,1.56,0.0
Jowar,1398,9.97,1.73,67.68,10.22,1.27,5.42,27.6,3.95,0.0
"Maize, dry",1398,8.8,3.77,64.77,12.24,1.66,4.44,8.91,2.49,0.0
"Maize, tender, local",502,3.57,1.4,22.69,3.67,1.47,2.24,6.35,0.71,4.26
"Maize, tender, sweet",405,4.16,1.35,16.42,3.3,4.67,2.23,6.37,0.54,5.72
Quinoa,1374,13.11,5.5,53.65,14.66,1.41,4.5,198.0,7.51,0.0
Ragi,1342,7.16,1.92,66.82,11.18,0.34,4.75,364.0,4.62,0.0
Rice flakes,1480,7.44,1.14,76.75,3.46,0.34,2.58,9.19,4.46,0.0
Rice puffed,1514,7.47,1.62,77.68,2.56,0.64,3.69,15.09,4.55,0.0
"Rice, raw, brown",1480,9.16,1.24,74.8,4.43,0.69,3.64,10.93,1.02,0.0
"Rice, parboiled, milled",1471,7.81,0.55,77.16,3.74,0.67,3.16,8.11,0.72,0.0
"Rice, raw, milled",1491,7.94,0.52,78.24,2.81,0.69,2.34,7.49,0.65,0.0
Samai,1449,10.13,3.89,65.55,7.72,0.37,4.77,16.06,1.26,0.0
Varagu,1388,8.92,2.55,66.19,6.39,1.29,3.35,15.27,2.34,0.0
"Wheat flour, refined",1472,10.36,0.76,74.27,2.76,1.79,1.54,20.4,1.77,0.0
"Wheat flour, atta",1340,10.57,1.53,64.17,11.36,1.8,2.04,30.94,4.1,0.0
"Wheat, whole",1347,10.59,1.47,64.72,11.23,1.77,2.5,39.36,3.97,0.0
