Food Item,Energy (kcal),CHO (g),Protein (g),Fat (g),Sugars (g),Fiber (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg),Cluster,Predicted_Score,Feedback
Hot tea (Garam Chai),16.14,2.58,0.39,0.53,2.58,0.0,3.12,14.2,0.02,0.5,1.8,1,72.43692517051616,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Add citrus fruits, amla or bell peppers."
Instant coffee,23.16,3.65,0.64,0.75,3.62,0.0,4.92,20.87,0.06,1.51,5.6,1,72.43289172601344,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Add citrus fruits, amla or bell peppers."
Espreso coffee,51.54,6.62,1.75,2.14,6.53,0.0,13.98,58.1,0.15,1.51,5.53,1,72.41779657376354,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Add citrus fruits, amla or bell peppers."
Iced tea,10.34,2.7,0.03,0.01,2.7,0.0,0.23,1.18,0.02,5.95,1.28,1,72.44150801504803,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Add citrus fruits, amla or bell peppers."
Raw mango drink (Aam panna),35.92,9.05,0.16,0.03,7.49,0.61,79.82,7.08,0.14,45.3,14.05,1,72.58570627278428,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains."
Fruit Punch (with fresh juices),36.12,9.38,0.14,0.03,9.25,0.06,2.63,5.07,0.1,41.44,24.57,1,72.43829013320325,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains."
Fruit Punch (with squashes),23.13,5.99,0.07,0.02,5.88,0.17,2.26,3.3,0.06,15.08,9.13,1,72.44047493714541,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains."
Lemonade,20.8,5.48,0.03,0.01,5.47,0.02,28.52,1.84,0.05,5.27,2.11,1,72.39665841348584,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Add citrus fruits, amla or bell peppers."
Lem-o-gin,21.52,5.55,0.08,0.03,5.38,0.13,28.13,2.2,0.09,5.68,2.92,1,72.42518069091035,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Add citrus fruits, amla or bell peppers."
Cumin infused water (Jeere/Zeere ka pani),9.09,1.86,0.17,0.11,1.46,0.46,189.6,10.84,0.32,3.61,3.14,1,72.58398347117422,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Add citrus fruits, amla or bell peppers."
Coco pine cooler,32.75,5.72,0.56,1.0,5.52,0.26,23.2,17.81,0.13,10.67,12.64,1,72.4689827468426,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains."
Summer cooler,22.43,5.43,0.37,0.04,5.21,0.2,1.57,8.13,0.28,103.5,63.89,1,72.72981540851576,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains."
Hot cocoa,90.1,9.23,3.36,4.56,9.01,0.0,24.2,113.66,0.31,3.62,13.79,1,72.43578916995533,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Add citrus fruits, amla or bell peppers."
Cold coffee with ice cream,67.85,11.24,1.57,2.11,11.18,0.01,13.84,53.29,0.12,2.53,9.49,1,72.32577447022548,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Banana milkshake (Kele milkshake),65.31,9.15,1.84,2.37,7.96,0.26,13.61,62.64,0.13,6.84,19.83,1,72.45381002101331,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Add citrus fruits, amla or bell peppers."
Mango milkshake (Aam milkshake),56.9,7.23,1.73,2.35,7.15,0.26,13.27,62.33,0.15,20.1,53.68,1,72.49120037191004,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains."
Pineapple milkshake (Ananas milkshake),55.72,7.62,1.66,2.23,7.6,0.0,14.05,59.92,0.11,10.22,17.45,1,72.41032038490113,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains."
Orange milkshake (Narangi milkshake),57.42,7.11,1.86,2.52,7.08,0.0,14.63,67.42,0.11,10.82,16.85,1,72.42560477202856,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains."
Egg nog,97.14,8.15,4.78,5.11,8.06,0.02,40.65,102.13,0.43,4.82,41.91,1,72.51147891221673,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Add citrus fruits, amla or bell peppers."
Sweet Lassi (Meethi lassi),35.66,6.51,1.29,0.68,6.51,0.0,18.31,45.65,0.03,1.0,18.0,1,72.39372927610916,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Add citrus fruits, amla or bell peppers."
Lassi (salted),18.84,1.86,1.35,0.72,1.84,0.02,65.4,47.78,0.04,1.02,18.07,1,72.4865412670581,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Add citrus fruits, amla or bell peppers."
Cheese and chilli sandwich,218.11,27.4,6.8,9.78,2.38,2.08,437.5,113.79,0.99,12.3,16.14,0,74.95426970616732,Reduce salt and processed foods.
Egg sandwich (Ande ka sandwich),285.96,29.16,8.69,15.8,1.86,1.88,461.67,110.13,1.44,0.0,14.92,0,75.00640702148195,"Include fiber-rich veggies or whole grains. | Reduce salt and processed foods. | Add citrus fruits, amla or bell peppers."
Cucumber sandwich (Kheere ka sandwich),188.6,25.77,4.8,8.0,1.64,2.45,362.64,87.84,1.02,1.53,12.96,1,73.31706628727684,"Add more protein sources like dal, paneer or lentils. | Add citrus fruits, amla or bell peppers."
Cheese and pineapple sandwich (Cheese aur ananas ka sandwich),257.71,29.1,8.2,12.8,4.1,2.33,571.96,199.73,1.04,3.64,12.08,0,74.96953669611119,"Reduce salt and processed foods. | Add citrus fruits, amla or bell peppers."
Cheese and tomato sandwich (Cheese aur tamatar ke sandwich),243.32,26.92,7.92,12.27,2.85,1.97,549.71,191.2,1.0,3.16,12.18,0,74.91656160283328,"Include fiber-rich veggies or whole grains. | Reduce salt and processed foods. | Add citrus fruits, amla or bell peppers."
Chicken sandwich,253.27,25.38,13.12,11.75,1.6,1.64,389.67,89.56,1.19,0.0,11.1,0,75.0478780199777,"Include fiber-rich veggies or whole grains. | Add citrus fruits, amla or bell peppers."
Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich),291.43,28.54,9.53,16.14,2.82,4.03,364.99,94.03,1.58,3.16,22.04,0,75.3422514520462,"Add citrus fruits, amla or bell peppers."
Rainbow sandwich,272.75,34.26,7.75,12.54,4.05,2.1,612.49,172.04,1.2,1.01,10.38,0,74.99833473598757,"Reduce salt and processed foods. | Add citrus fruits, amla or bell peppers."
